2026-07-22 19:23:40 [INFO ] [claude-gateway] ==================================================
2026-07-22 19:23:40 [INFO ] [claude-gateway] Claude Gateway starting...
2026-07-22 19:23:40 [INFO ] [claude-gateway] Database initialized
2026-07-22 19:23:40 [INFO ] [claude-gateway] File storage: D:\ClaudeFiles
2026-07-22 19:23:40 [INFO ] [claude-gateway] Listening on http://0.0.0.0:8080
2026-07-22 19:23:40 [INFO ] [claude-gateway] ==================================================
2026-07-22 19:23:40 [INFO ] [claude-gateway] [Pool] Cleanup task started (idle timeout: 0m)
2026-07-22 19:23:40 [INFO ] [claude-gateway] Session pool started
2026-07-22 19:23:40 [INFO ] [claude-gateway] [StreamStore] Cleanup task started (timeout=300s, interval=30s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [faa95a1f] GET /static/index.html → 200 (0.39s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [8bc8c137] GET /static/base.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [dacf645d] GET /static/controls.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [d049da56] GET /static/layout.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [18f8071a] GET /static/chat.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [67293db5] GET /static/overlay.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [b870cb2a] GET /static/scrollbar.css → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [c73284f0] GET /static/js/app.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [ce564889] GET /static/js/core/store.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [3d5e0534] GET /static/js/core/events.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [aafdf12e] GET /static/js/components/settings-screen.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [91866c63] GET /static/js/core/dom.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [e4023433] GET /static/js/components/chat.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [396e0326] GET /static/js/services/stream.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [cc07b878] GET /static/js/components/compose.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [359f2fe5] GET /static/js/services/api.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [f125f61d] GET /static/js/components/settings-panel.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [51b48b75] GET /static/js/services/theme.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [1f749258] GET /static/js/components/confirm.js → 200 (0.03s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [2c6240fd] GET /static/js/components/welcome.js → 200 (0.03s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [767488be] GET /static/js/components/sidebar.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [89e22ccf] GET /static/js/utils/notify.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [6cfa09ae] GET /static/manifest.json → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [2725bd72] GET /static/js/utils/html.js → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [9db79357] GET /static/js/render/markdown.js → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [994e1c69] GET /static/js/render/thinking.js → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [547c8fa9] GET /static/js/render/messages.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [c6355d2c] GET /static/js/render/agent.js → 200 (0.02s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [59dd665a] GET /api/system/info → 401 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [928a594f] GET /api/conversations → 401 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [7a15789e] GET /sw.js → 200 (0.00s)
2026-07-22 19:23:43 [INFO ] [claude-gateway] [673bc3ac] GET /favicon.ico → 404 (0.00s)
2026-07-22 19:23:46 [INFO ] [claude-gateway] [7b18cb11] GET /static/index.html → 200 (0.00s)
2026-07-22 19:23:46 [INFO ] [claude-gateway] [3d694a9d] GET /api/system/info → 401 (0.00s)
2026-07-22 19:23:46 [INFO ] [claude-gateway] [fd182e35] GET /static/manifest.json → 200 (0.00s)
2026-07-22 19:23:46 [INFO ] [claude-gateway] [367c6864] GET /api/conversations → 401 (0.00s)
2026-07-22 19:23:46 [INFO ] [claude-gateway] [35bd9fcb] GET /sw.js → 200 (0.00s)
2026-07-22 19:23:57 [INFO ] [claude-gateway] [67f6bb28] GET /api/conversations → 401 (0.00s)
2026-07-22 19:23:58 [INFO ] [claude-gateway] [7be331da] GET /api/system/info → 401 (0.00s)
2026-07-22 19:23:58 [INFO ] [claude-gateway] [026f6092] GET /api/system/config → 401 (0.00s)
